aX,aY,aZ,gX,gY,gZ
-0.008,-0.833,0.837,12.268,-3.479,-59.448
-0.011,-0.665,0.870,13.367,-5.920,-64.636
-0.002,-0.514,0.876,14.404,-8.911,-66.284
0.001,-0.361,0.864,15.442,-10.071,-67.993
0.011,-0.199,0.851,16.296,-8.301,-69.824
0.017,-0.033,0.843,17.090,-4.944,-70.923
0.025,0.134,0.838,14.954,1.038,-72.266
0.021,0.298,0.838,8.484,8.911,-73.608
0.003,0.405,0.865,2.502,18.066,-72.693
-0.009,0.422,0.911,-2.869,26.123,-67.993
0.005,0.364,0.981,-6.592,31.067,-59.753
-0.008,0.309,1.040,-9.766,32.837,-53.833
-0.019,0.290,1.096,-11.047,33.264,-54.260
-0.046,0.332,1.134,-8.850,32.959,-56.702
-0.076,0.379,1.185,-0.366,32.043,-54.993
-0.103,0.406,1.208,6.042,28.137,-48.645
-0.115,0.407,1.208,5.310,21.729,-40.833
-0.116,0.366,1.184,-0.305,14.038,-33.020
-0.117,0.316,1.129,-6.958,7.324,-25.330
-0.120,0.258,1.081,-11.536,1.953,-17.334
-0.118,0.200,1.052,-13.916,-0.854,-9.277
-0.121,0.142,1.045,-18.982,-2.686,-2.380
-0.115,0.068,1.048,-25.391,-4.456,2.991
-0.112,-0.023,1.059,-31.677,-6.775,6.775
-0.106,-0.130,1.067,-37.292,-9.766,7.263
-0.073,-0.198,1.057,-37.476,-13.428,4.272
-0.071,-0.197,1.035,-29.358,-15.137,-0.977
-0.084,-0.136,1.029,-13.611,-13.245,-7.874
-0.086,-0.040,1.003,-2.380,-11.780,-13.428
-0.096,0.059,0.985,1.648,-10.315,-15.442
-0.108,0.119,0.969,1.587,-7.446,-13.916
-0.117,0.126,0.956,-1.282,-3.601,-10.620
-0.118,0.106,0.948,-5.798,0.061,-6.409
-0.115,0.076,0.947,-7.996,3.906,-2.197
-0.114,0.053,0.959,-7.202,6.714,1.221
-0.106,0.032,0.969,-4.028,8.606,4.150
-0.097,0.000,0.985,-1.099,9.521,6.836
-0.098,-0.033,1.008,0.916,9.277,8.179
-0.088,-0.053,1.020,1.221,8.240,7.874
-0.085,-0.057,1.022,0.244,6.592,6.592
-0.088,-0.047,1.009,0.183,5.432,4.761
-0.090,-0.041,1.001,1.343,4.761,4.395
