aX,aY,aZ,gX,gY,gZ
-0.116,-0.112,0.991,3.296,2.686,5.249
-0.116,-0.116,0.989,3.357,2.258,5.310
-0.116,-0.119,0.987,2.319,1.831,5.554
-0.115,-0.119,0.990,0.366,1.892,5.188
-0.116,-0.115,0.998,-1.709,2.014,5.005
-0.116,-0.112,1.001,-3.296,1.953,4.822
-0.114,-0.109,1.005,-4.761,1.709,4.822
-0.108,-0.106,1.004,-6.042,1.526,5.188
-0.110,-0.100,1.001,-6.348,1.160,5.188
-0.118,-0.099,0.998,-5.066,1.221,5.188
-0.116,-0.099,0.995,-2.869,1.160,5.005
-0.115,-0.096,0.987,-2.014,0.977,4.944
-0.114,-0.108,0.982,-2.014,1.099,5.188
-0.122,-0.100,0.989,-1.465,1.160,5.310
-0.122,-0.106,0.999,0.122,1.343,5.127
-0.120,-0.106,1.000,0.366,1.526,4.578
-0.119,-0.111,0.999,0.732,1.526,3.906
-0.128,-0.111,0.996,0.671,1.526,3.723
-0.125,-0.109,0.989,0.366,1.160,3.906
-0.128,-0.105,0.987,0.854,0.793,4.272
-0.127,-0.105,0.986,1.099,0.610,4.700
-0.121,-0.113,0.987,0.244,0.671,5.188
-0.121,-0.118,0.990,-0.854,0.610,5.676
-0.123,-0.120,0.986,-2.136,0.977,5.859
-0.122,-0.118,0.988,-2.930,1.221,5.066
-0.119,-0.110,0.989,-3.479,1.465,4.272
-0.120,-0.107,0.991,-3.662,2.197,3.601
-0.121,-0.104,0.996,-3.723,2.625,2.808
-0.122,-0.100,0.996,-4.211,2.930,2.075
-0.124,-0.098,0.995,-4.272,2.686,2.014
-0.125,-0.100,0.996,-3.601,2.502,2.380
-0.125,-0.102,0.992,-2.075,2.625,2.930
-0.121,-0.104,0.993,-0.305,2.686,3.113
-0.121,-0.104,0.992,0.916,2.930,3.357
-0.312,-0.333,2.771,-24.170,49.133,35.889
-0.243,-0.251,2.815,-51.331,31.982,17.090
-0.156,-0.217,2.665,-55.664,6.836,-4.578
-0.108,-0.216,2.393,-39.734,-16.907,-15.808
-0.077,-0.168,2.161,-28.809,-41.077,-17.944
-0.037,-0.088,1.965,-16.968,-61.401,-18.494
-0.025,0.007,1.779,-2.502,-75.012,-18.799
-0.012,0.121,1.548,9.155,-86.914,-21.301
0.013,0.219,1.235,18.677,-96.741,-26.733
0.016,0.273,0.878,29.785,-103.516,-31.677
0.018,0.298,0.470,34.607,-108.276,-35.461
0.012,0.294,0.028,35.950,-110.596,-35.645
-0.004,0.261,-0.408,38.696,-107.910,-31.067
-0.036,0.224,-0.755,43.579,-97.412,-23.132
-0.074,0.166,-0.972,51.331,-79.163,-12.207
-0.086,0.140,-1.071,54.993,-55.481,-1.404
-0.100,0.146,-1.067,54.932,-29.114,8.423
-0.108,0.125,-1.009,57.190,-2.808,15.503
-0.111,0.089,-0.934,58.594,19.653,20.325
-0.099,0.055,-0.841,56.152,39.063,24.597
-0.089,0.013,-0.706,50.598,58.044,27.832
-0.046,-0.040,-0.534,42.847,74.768,30.029
-0.026,-0.094,-0.336,29.968,87.708,32.043
-0.012,-0.161,-0.106,15.869,97.412,33.447
0.004,-0.221,0.138,1.770,103.333,33.203
0.012,-0.277,0.393,-9.888,104.553,32.776
0.031,-0.335,0.649,-16.785,102.112,32.532
0.045,-0.372,0.879,-20.142,98.206,30.884
0.045,-0.381,1.088,-20.996,93.628,27.771
0.036,-0.369,1.288,-23.560,87.646,22.705
0.024,-0.363,1.444,-30.090,81.055,16.663
0.015,-0.367,1.583,-36.621,72.449,11.536
