aX,aY,aZ,gX,gY,gZ
-0.070,-0.183,1.027,-0.793,-7.507,6.653
-0.077,-0.180,1.013,0.061,-6.653,6.592
-0.081,-0.172,1.008,0.122,-5.554,5.981
-0.083,-0.172,1.008,-0.854,-4.211,5.676
-0.084,-0.177,1.012,-1.465,-2.930,5.676
-0.080,-0.177,1.002,-0.610,-2.258,5.310
-0.072,-0.164,1.002,0.122,-1.709,4.211
-0.067,-0.155,1.005,-0.549,-1.526,3.113
-0.067,-0.153,1.005,-1.404,-1.770,3.174
-0.071,-0.156,1.001,-1.587,-2.380,4.211
-0.075,-0.161,1.005,-2.136,-2.625,4.944
-0.076,-0.160,1.014,-2.686,-2.441,5.432
-0.069,-0.156,1.010,-2.014,-2.319,5.615
-0.067,-0.156,1.005,-0.488,-2.502,5.737
-0.067,-0.156,1.005,-0.671,-2.808,5.737
-0.069,-0.161,1.001,-1.160,-2.869,5.981
-0.071,-0.166,1.000,-1.160,-2.808,6.104
-0.072,-0.168,1.000,-0.916,-2.747,6.226
-0.068,-0.176,1.004,-0.366,-2.625,6.104
-0.066,-0.183,1.006,-0.122,-2.319,5.737
-0.068,-0.184,1.005,0.610,-2.502,5.737
-0.071,-0.182,1.001,1.221,-2.502,5.127
-0.073,-0.180,1.001,1.587,-2.197,4.089
-0.071,-0.177,1.002,1.404,-1.526,3.296
-0.067,-0.175,1.009,0.366,-0.671,2.747
-0.071,-0.177,1.015,-0.732,0.000,2.930
-0.078,-0.178,1.015,-1.526,0.549,3.357
-0.085,-0.176,1.010,-2.136,1.099,3.540
-0.087,-0.175,1.006,-2.502,1.770,3.235
-0.085,-0.180,1.011,-2.808,2.686,2.747
-0.079,-0.179,1.016,-2.319,3.479,2.075
-1.836,-0.574,0.637,-110.291,-3.784,90.454
-2.254,-0.682,0.422,-62.378,18.372,87.891
-2.361,-0.945,0.104,-8.911,53.650,72.205
-2.142,-1.116,-0.058,25.574,95.276,47.546
-1.618,-1.147,0.025,49.622,145.142,7.507
-0.923,-0.992,0.083,78.674,190.735,-47.119
-0.118,-0.561,0.186,97.656,221.863,-93.384
0.786,-0.065,0.539,103.455,231.873,-120.117
1.691,0.150,1.020,99.121,216.919,-117.798
2.346,0.245,1.467,77.209,181.396,-95.764
2.763,0.291,1.733,42.603,134.949,-65.613
2.869,0.357,1.816,19.897,94.299,-37.231
2.709,0.455,1.756,0.916,52.734,-22.400
2.459,0.490,1.607,-5.127,15.015,-18.127
2.209,0.465,1.496,-13.306,-18.494,-15.686
1.950,0.402,1.455,-20.264,-43.274,-8.911
1.713,0.331,1.415,-33.447,-61.340,4.028
1.429,0.232,1.321,-51.025,-78.491,25.452
1.104,0.085,1.215,-63.232,-93.933,50.354
0.776,-0.076,1.081,-69.153,-105.652,72.937
0.475,-0.228,0.922,-68.176,-110.657,88.013
0.209,-0.305,0.825,-66.284,-106.934,89.844
0.041,-0.339,0.759,-52.612,-97.534,78.125
-0.055,-0.337,0.739,-31.067,-91.370,59.631
-0.152,-0.323,0.740,-12.146,-88.013,40.100
-0.229,-0.309,0.753,1.343,-82.275,25.391
-0.304,-0.323,0.747,7.935,-71.411,18.616
-0.387,-0.343,0.749,6.104,-54.565,16.907
-0.463,-0.367,0.760,2.930,-33.997,13.672
-0.515,-0.381,0.776,1.648,-14.404,7.263
-0.561,-0.368,0.803,0.000,2.014,-1.404
-0.584,-0.325,0.863,3.113,14.771,-10.376
-0.549,-0.282,0.911,11.841,20.264,-19.043
-0.461,-0.255,0.926,24.658,18.799,-24.048
-0.387,-0.245,0.958,33.020,15.686,-25.085
-0.340,-0.254,0.978,35.095,12.024,-23.132
-0.315,-0.250,0.981,30.273,7.935,-18.616
-0.307,-0.245,0.985,22.705,3.967,-15.015
-0.279,-0.221,1.003,18.433,2.625,-11.597
-0.226,-0.224,1.014,22.339,2.319,-9.460
-0.169,-0.248,1.025,27.771,2.258,-8.362
-0.126,-0.261,1.031,29.846,1.953,-7.507
-0.092,-0.261,1.024,28.870,2.136,-6.226
-0.060,-0.240,1.025,25.146,3.174,-4.333
-0.035,-0.222,1.026,19.653,5.249,-1.831
-0.000,-0.213,1.029,13.611,7.935,1.038
0.040,-0.206,1.050,6.470,10.498,3.906
0.067,-0.209,1.070,0.671,10.925,6.165
0.077,-0.217,1.080,-3.906,8.667,8.118
0.063,-0.220,1.076,-5.432,3.723,9.460
0.038,-0.212,1.060,-4.333,-1.892,9.399
0.017,-0.210,1.033,-0.244,-6.897,8.301
0.005,-0.202,1.007,2.625,-10.559,6.775
0.000,-0.198,1.001,3.540,-12.756,5.554
-0.004,-0.181,1.001,3.967,-13.367,4.456
-0.007,-0.159,0.995,6.042,-13.672,3.967
-0.006,-0.145,0.989,7.629,-13.550,3.235
-0.004,-0.136,0.991,6.714,-11.719,1.892
-0.008,-0.126,0.991,4.211,-8.301,1.587
-0.007,-0.118,0.989,2.197,-4.028,1.709
-0.000,-0.113,1.000,0.916,1.221,0.671
0.018,-0.110,1.009,0.000,7.202,-1.160
0.036,-0.120,1.026,-1.465,12.329,-3.052
0.055,-0.135,1.038,-3.052,14.099,-3.784
0.074,-0.136,1.049,-4.639,13.245,-2.686
0.081,-0.156,1.060,-6.531,10.986,-0.488
0.077,-0.177,1.063,-8.057,8.118,1.953
0.066,-0.179,1.061,-8.850,4.761,3.662
0.054,-0.179,1.060,-8.423,2.380,4.456
0.043,-0.173,1.059,-6.897,0.427,4.700
0.033,-0.174,1.049,-4.822,-1.221,4.883
0.022,-0.172,1.041,-2.747,-2.563,5.310
0.014,-0.171,1.033,-2.625,-3.174,5.432
0.005,-0.178,1.024,-1.648,-3.662,5.615
0.001,-0.185,1.016,0.244,-3.662,5.676
0.002,-0.191,1.016,1.709,-3.601,4.822
0.005,-0.198,1.019,1.099,-3.296,3.357
0.006,-0.200,1.027,0.000,-3.296,1.953
0.008,-0.208,1.038,0.061,-4.089,0.305
0.006,-0.217,1.052,1.404,-5.005,-0.732
-0.002,-0.226,1.047,3.540,-6.470,-0.671
-0.018,-0.221,1.030,5.981,-7.874,-0.549
-0.024,-0.217,1.020,6.531,-8.179,-0.366
-0.023,-0.214,1.020,5.676,-8.179,0.183
-0.021,-0.205,1.017,4.639,-7.690,1.099
-0.023,-0.197,1.014,2.258,-7.141,2.014
-0.032,-0.189,1.006,-0.793,-6.653,3.235
-0.049,-0.184,0.996,-3.052,-5.737,4.456
-0.061,-0.186,0.990,-4.639,-4.272,5.066
-0.066,-0.187,0.985,-6.409,-2.197,5.310
-0.064,-0.189,0.993,-7.385,0.061,5.188
-0.052,-0.186,1.002,-7.385,2.014,4.578
-0.034,-0.176,1.006,-6.470,3.540,3.784
-0.022,-0.165,1.019,-6.714,3.845,2.686
-0.024,-0.163,1.025,-6.714,3.235,2.502
-0.029,-0.170,1.013,-5.371,2.197,3.052
-0.033,-0.175,1.006,-4.333,1.282,3.235
-0.032,-0.176,1.008,-4.822,0.916,3.296
-0.029,-0.181,1.017,-5.432,0.977,3.601
-0.029,-0.186,1.014,-4.089,0.671,3.906
-0.034,-0.182,1.005,-2.441,0.305,4.028
-0.038,-0.178,0.999,-1.038,0.549,3.601
-0.036,-0.179,0.999,-0.366,0.977,2.747
-0.034,-0.173,1.001,-0.122,1.404,2.136
-0.031,-0.160,0.999,-0.061,1.587,1.648
-0.028,-0.149,0.997,0.427,1.648,1.526
-0.024,-0.145,0.998,0.488,1.831,1.282
-0.023,-0.149,0.994,1.526,2.075,1.892
-0.024,-0.161,0.988,1.831,1.892,2.197
-0.021,-0.168,0.995,1.404,2.441,2.014
-0.019,-0.180,1.004,0.793,3.174,1.099
-0.013,-0.185,1.009,0.732,3.906,-0.061
